,Survival Rate,Stocking Density,Growth Rate,Number of Subsystems Used,Gallons Used in Weekly Harvest,Weekly Harvest Yield (Pounds)
0,0.9,500.0,0.8,1.0,40000.0,3000.0
1,0.9,500.0,1.1,1.33,53200.0,3990.0
2,0.9,500.0,1.3,1.66,66400.0,4980.0
3,0.9,500.0,1.6,2.0,80000.0,6000.0
4,0.9,500.0,2.0,2.5,100000.0,7500.0
5,0.9,750.0,0.8,1.0,40000.0,4500.0
6,0.9,750.0,1.1,1.33,53200.0,5985.0
7,0.9,750.0,1.3,1.66,66400.0,7470.0
8,0.9,750.0,1.6,2.0,80000.0,9000.0
9,0.9,750.0,2.0,2.5,100000.0,11250.0
10,0.9,1000.0,0.8,1.0,40000.0,6000.0
11,0.9,1000.0,1.1,1.33,53200.0,7980.0
12,0.9,1000.0,1.3,1.66,66400.0,9960.0
13,0.9,1000.0,1.6,2.0,80000.0,12000.0
14,0.9,1000.0,2.0,2.5,100000.0,15000.0
15,0.95,500.0,0.8,1.0,40000.0,3166.6666666666665
16,0.95,500.0,1.1,1.33,53200.0,4211.666666666667
17,0.95,500.0,1.3,1.66,66400.0,5256.666666666667
18,0.95,500.0,1.6,2.0,80000.0,6333.333333333333
19,0.95,500.0,2.0,2.5,100000.0,7916.666666666667
20,0.95,750.0,0.8,1.0,40000.0,4750.0
21,0.95,750.0,1.1,1.33,53200.0,6317.5
22,0.95,750.0,1.3,1.66,66400.0,7885.0
23,0.95,750.0,1.6,2.0,80000.0,9500.0
24,0.95,750.0,2.0,2.5,100000.0,11875.0
25,0.95,1000.0,0.8,1.0,40000.0,6333.333333333333
26,0.95,1000.0,1.1,1.33,53200.0,8423.333333333334
27,0.95,1000.0,1.3,1.66,66400.0,10513.333333333334
28,0.95,1000.0,1.6,2.0,80000.0,12666.666666666666
29,0.95,1000.0,2.0,2.5,100000.0,15833.333333333334
30,0.99,500.0,0.8,1.0,40000.0,3300.0
31,0.99,500.0,1.1,1.33,53200.0,4389.0
32,0.99,500.0,1.3,1.66,66400.0,5478.0
33,0.99,500.0,1.6,2.0,80000.0,6600.0
34,0.99,500.0,2.0,2.5,100000.0,8250.0
35,0.99,750.0,0.8,1.0,40000.0,4950.0
36,0.99,750.0,1.1,1.33,53200.0,6583.5
37,0.99,750.0,1.3,1.66,66400.0,8217.0
38,0.99,750.0,1.6,2.0,80000.0,9900.0
39,0.99,750.0,2.0,2.5,100000.0,12375.0
40,0.99,1000.0,0.8,1.0,40000.0,6600.0
41,0.99,1000.0,1.1,1.33,53200.0,8778.0
42,0.99,1000.0,1.3,1.66,66400.0,10956.0
43,0.99,1000.0,1.6,2.0,80000.0,13200.0
44,0.99,1000.0,2.0,2.5,100000.0,16500.0
